#=====================================================
# File created:        Sun-13-Oct-2024-at-04-28-41PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 1.000
# Run time (s):        11.730978
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00542    0.4975    -894.1315  0.4649 
   00543    0.5300    -896.5404  0.4772 
   00544    0.5300    -896.2950  0.4444 
   00545    0.5400    -924.4698  0.4417 
   00546    0.5250    -912.3331  0.4541 
   00547    0.5250    -952.9028  0.4540 
   00548    0.5025    -926.5120  0.4506 
   00549    0.5200    -914.9533  0.4712 
   00550    0.4950    -984.6722  0.4626 
   00551    0.4800    -926.8448  0.4649 
   00552    0.4850    -919.3335  0.4436 
   00553    0.4225    -929.8642  0.4417 
   00554    0.5050    -953.2143  0.4365 
   00555    0.4725    -934.3502  0.3859 
   00556    0.5150    -909.6388  0.3919 
   00557    0.4550    -935.4480  0.3980 
   00558    0.5000    -927.4268  0.3936 
   00559    0.5200    -920.9893  0.3885 
   00560    0.5000    -957.6358  0.3432 
   00561    0.5075    -931.8268  0.3775 
   00562    0.4925    -939.2380  0.3720 
   00563    0.4925    -907.3394  0.3695 
   00564    0.5050    -910.6926  0.3901 
   00565    0.5225    -896.4455  0.4276 
   00566    0.5250    -925.3134  0.4283 
   00567    0.5400    -948.8495  0.4288 
   00568    0.4675    -917.3164  0.4065 
   00569    0.4875    -964.1978  0.3922 
   00570    0.4725    -928.5739  0.3987 
   00571    0.5375    -938.6181  0.3947 
   00572    0.5000    -947.8632  0.3404 
   00573    0.5000    -932.3294  0.3482 
   00574    0.5350    -913.2892  0.3589 
   00575    0.4750    -931.8342  0.3877 
   00576    0.5725    -909.4547  0.3807 
   00577    0.4850    -904.8109  0.3866 
   00578    0.4850    -911.6359  0.3524 
   00579    0.5000    -917.0399  0.3622 
   00580    0.5300    -912.5628  0.3089 
   00581    0.5225    -898.4815  0.3023 
   00582    0.5750    -893.2032  0.2978 
   00583    0.4950    -916.9866  0.3048 
   00584    0.4575    -916.5153  0.3203 
   00585    0.4975    -897.8133  0.3346 
   00586    0.5550    -884.7697  0.3523 
   00587    0.4775    -917.4073  0.3533 
   00588    0.4850    -919.2130  0.3355 
   00589    0.5250    -897.1329  0.3180 
   00590    0.5350    -940.4693  0.3268 
   00591    0.4875    -951.8936  0.3153 
   00592    0.5225    -968.2416  0.3394 
   00593    0.4775    -929.1695  0.3303 
   00594    0.4975    -944.6305  0.3549 
   00595    0.4975    -943.4755  0.3759 
   00596    0.4975    -954.0017  0.3686 
   00597    0.5175    -937.3177  0.3649 
   00598    0.4750    -937.8423  0.3349 
   00599    0.4750    -926.4586  0.3097 
   00600    0.5450    -894.9273  0.2977 
   00601    0.4925    -901.2619  0.3175 
   00602    0.4800    -898.6574  0.3117 
   00603    0.5075    -930.7886  0.3203 
   00604    0.4950    -935.9452  0.3399 
   00605    0.4675    -925.7491  0.3678 
   00606    0.5450    -930.9218  0.3605 
   00607    0.4975    -944.7178  0.3431 
   00608    0.4800    -944.7996  0.2964 
   00609    0.4725    -978.0359  0.2791 
   00610    0.4475    -972.6857  0.2796 
   00611    0.4675    -968.3878  0.2984 
   00612    0.4800    -944.1772  0.3067 
   00613    0.4875    -911.3330  0.3397 
   00614    0.4975    -943.5617  0.3471 
   00615    0.5325    -964.2848  0.2913 
   00616    0.4925    -955.5616  0.3123 
   00617    0.4975    -954.4887  0.3114 
   00618    0.4675    -923.5138  0.2867 
   00619    0.4775    -931.7178  0.2719 
   00620    0.5075    -941.4868  0.2895 
   00621    0.4925    -923.6602  0.2769 
   00622    0.4675    -968.7730  0.2821 
   00623    0.4775    -941.5833  0.2877 
   00624    0.5100    -955.0019  0.2771 
   00625    0.4850    -920.2547  0.2809 
   00626    0.4900    -978.5269  0.2938 
   00627    0.4450    -968.6511  0.2783 
   00628    0.4850    -959.6990  0.2703 
   00629    0.4925    -967.9871  0.2541 
   00630    0.5050    -992.3680  0.2965 
   00631    0.4925    -930.5947  0.2615 
   00632    0.5100    -933.0186  0.2605 
   00633    0.4850    -939.2891  0.2590 
